Catalogue Entry;Familiar Name;Alternative Entries;Type;Constellation;Right Ascension (j2000);Declination (j2000);Magnitude;Size;Surface Brightness (mag/arcsec2);Notes;Right Ascension (jNow);Declination (jNow)
NGC 2345;;OCL 575,OCL 575.0,CL MELOTTE 61;Open Cluster;Canis Major;"07h 08' 18""""";"-13º 11' 56""""";07.lip;11' x 11';45859;;"07h 09' 28""""";"-13º 14' 25"""""
NGC 2215;;CL MELOTTE 45;Open Cluster;Monoceros;"06h 20' 48""""";"-07º 16' 37""""";08.kwi;21' x 21';45798;;"06h 22' 01""""";"-07º 17' 24"""""
LBN 117;;LBN 043.07-35.28;HII Region;Aquarius;"21h 15' 00""""";"-07º 48' 00""""";;6º x 2º;;;"21h 16' 20""""";"-07º 41' 40"""""
LBN 16;;LBN 004.97+24.03;HII Region;Ophiuchus;"16h 33' 00""""";"-11º 18' 00""""";;2.5º x 30';;;"16h 34' 24""""";"-11º 21' 06"""""
LBN 743;;LBN 158.71-33.88;HII Region;Aries;"02h 56' 00""""";"20º 12' 00""""";;2.3º x 1.2º;;;"02h 57' 26""""";"20º 18' 02"""""
LDN 352;;;Dark Nebula;Serpens;"17h 45' 48""""";"-12º 01' 00""""";;2.3º x 2.3º;;;"17h 47' 13""""";"-12º 01' 30"""""
LDN 1474;;;Dark Nebula;Perseus;"04h 48' 36""""";"44º 05' 00""""";;2.2º x 2.2º;;;"04h 50' 25""""";"44º 07' 33"""""
LDN 563;;;Dark Nebula;Serpens;"18h 39' 36""""";"-01º 32' 00""""";;1.6º x 1.6º;;;"18h 40' 54""""";"-01º 30' 32"""""
LDN 1443;;;Dark Nebula;Perseus;"04h 00' 24""""";"40º 48' 00""""";;1.3º x 1.3º;;;"04h 02' 07""""";"40º 52' 10"""""
LDN 1391;;;Dark Nebula;Camelopardalis;"03h 57' 48""""";"53º 09' 00""""";;1.2º x 1.2º;;;"03h 59' 44""""";"53º 13' 15"""""
BARNARD 97;;;Dark Nebula;Scutum;"18h 29' 06""""";"-09º 55' 00""""";;55' x 55';;;"18h 30' 29""""";"-09º 53' 55"""""
LBN 386;;LBN 086.66+05.87;HII Region;Cygnus;"20h 32' 00""""";"49º 30' 00""""";;50' x 10';;;"20h 32' 46""""";"49º 35' 11"""""
LDN 1537;;;Dark Nebula;Taurus;"04h 51' 06""""";"26º 25' 00""""";;38' x 38';;;"04h 52' 39""""";"26º 27' 28"""""
LBN 417;;LBN 091.75-01.47;HII Region;Cygnus;"21h 26' 00""""";"48º 30' 00""""";;30' x 20';;;"21h 26' 54""""";"48º 36' 36"""""
LDN 1089;;;Dark Nebula;Cepheus;"20h 32' 48""""";"63º 30' 00""""";;30' x 30';;;"20h 33' 12""""";"63º 35' 12"""""
LDN 755;;;Dark Nebula;Vulpecula;"19h 27' 12""""";"21º 26' 00""""";;25' x 25';;;"19h 28' 17""""";"21º 29' 09"""""
LBN 651;;LBN 134.25+14.00;HII Region;Cassiopeia;"03h 35' 00""""";"73º 12' 00""""";;3.5º x 3.5º;;;"03h 37' 48""""";"73º 16' 56"""""
LBN 713;;LBN 152.91-08.35;HII Region;Perseus;"03h 45' 00""""";"44º 12' 00""""";;2.7º x 1.3º;;;"03h 46' 45""""";"44º 16' 39"""""
LBN 751;;LBN 159.90+11.58;HII Region;Auriga;"05h 44' 00""""";"52º 00' 00""""";;2.7º x 20';;;"05h 46' 00""""";"52º 00' 33"""""
LBN 753;;LBN 160.07-35.54;HII Region;Aries;"02h 56' 00""""";"18º 12' 00""""";;1.7º x 1º;;;"02h 57' 25""""";"18º 18' 02"""""
LBN 1024;;LBN 222.15+00.61;HII Region;Monoceros;"07h 10' 00""""";"-07º 54' 00""""";;1.5º x 20';;;"07h 11' 13""""";"-07º 56' 33"""""
LDN 320;;;Dark Nebula;Sagittarius;"17h 59' 54""""";"-16º 30' 00""""";;1.2º x 1.2º;;;"18h 01' 21""""";"-16º 29' 59"""""
LBN 720;;LBN 155.13-14.65;HII Region;Perseus;"03h 34' 00""""";"37º 54' 00""""";;1.2º x 25';;;"03h 35' 39""""";"37º 58' 59"""""
LBN 917;;LBN 203.50-30.15;HII Region;Eridanus;"04h 47' 42""""";"-05º 55' 00""""";;1.2º x 30';;;"04h 48' 56""""";"-05º 52' 25"""""
CL STOCK 10;;;Open Cluster;Auriga;"05h 39' 14""""";"37º 51' 00""""";;1.1º x 1.1º;;;"05h 40' 57""""";"37º 51' 44"""""
SH 2-251;;LBN 849,LBN 189.78-27.14;HII Region;Taurus;"04h 32' 54""""";"05º 51' 00""""";;35';;;"04h 34' 15""""";"05º 54' 06"""""
SH 2-24;;LBN 17,LBN 005.01+30.90,IRAS 16083-0653,IRAS 16086-0656;HII Region;Ophiuchus;"16h 11' 01""""";"-07º 01' 36""""";;30';;;"16h 12' 22""""";"-07º 05' 26"""""
OCL 385;;CL TOMBAUGH 5;Open Cluster;Camelopardalis;"03h 47' 56""""";"59º 04' 12""""";;20' x 20';;;"03h 50' 01""""";"59º 08' 45"""""
MCG +00-43-006;;PGC 59400,UGC 10642,Z 25-16,Z 1657.3-0028,CL PAL 15;Globular Cluster;Ophiuchus;"16h 59' 51""""";"-00º 32' 00""""";;19' x 13';;;"17h 01' 09""""";"-00º 34' 10"""""
NGC 7795;;;Asterism;Cassiopeia;"23h 58' 37""""";"60º 02' 06""""";;16';;;"23h 59' 54""""";"60º 10' 31"""""
CL COLLINDER 416;;;Open Cluster;Vulpecula;"20h 11' 37""""";"26º 31' 55""""";;15' x 15';;;"20h 12' 41""""";"26º 36' 30"""""
SH 2-287;;LBN 1012,LBN 218.08-00.35;Infrared Source;Monoceros;"06h 59' 29""""";"-04º 49' 12""""";;12';;;"07h 00' 44""""";"-04º 51' 23"""""
NGC 2396;;;Open Cluster;Puppis;"07h 27' 56""""";"-11º 43' 30""""";07.kwi;22' x 22';21.0;;"07h 29' 07""""";"-11º 46' 40"""""
NGC 2126;;CL MELOTTE 39,CL COLLINDER 78;Open Cluster;Auriga;"06h 02' 38""""";"49º 52' 59""""";10.lut;12' x 12';45860;;"06h 04' 35""""";"49º 52' 51"""""
LDN 1418;;;Dark Nebula;Perseus;"04h 33' 54""""";"52º 36' 00""""";;1.6º x 1.6º;;;"04h 35' 52""""";"52º 39' 03"""""
LDN 484;;;Dark Nebula;Scutum;"18h 39' 42""""";"-07º 27' 00""""";;1.4º x 1.4º;;;"18h 41' 04""""";"-07º 25' 32"""""
LBN 599;;LBN 120.50-06.52;Reflection Nebula;Cassiopeia;"00h 34' 00""""";"56º 18' 00""""";;1º x 15';;;"00h 35' 25""""";"56º 26' 19"""""
NGC 1750;;OCL 454;Open Cluster;Taurus;"05h 03' 42""""";"23º 41' 42""""";;50' x 50';;;"05h 05' 14""""";"23º 43' 43"""""
LDN 175;;;Dark Nebula;Ophiuchus;"17h 18' 12""""";"-18º 31' 12""""";;48' x 36';;;"17h 19' 41""""";"-18º 32' 42"""""
LDN 524;;;Dark Nebula;Scutum;"18h 45' 42""""";"-04º 57' 00""""";;46' x 46';;;"18h 47' 02""""";"-04º 55' 19"""""
LBN 719;;LBN 154.79-15.20;HII Region;Perseus;"03h 31' 00""""";"37º 36' 00""""";;35' x 30';;;"03h 32' 38""""";"37º 41' 04"""""
LDN 1319;;;Dark Nebula;Cassiopeia;"01h 23' 18""""";"61º 16' 00""""";;27' x 27';;;"01h 24' 58""""";"61º 23' 51"""""
CL RUPRECHT 26;;;Open Cluster;Puppis;"07h 37' 05""""";"-15º 35' 12""""";;22' x 22';;;"07h 38' 14""""";"-15º 38' 41"""""
NGC 6800;;;Open Cluster;Vulpecula;"19h 26' 39""""";"25º 00' 29""""";;22' x 22';;;"19h 27' 42""""";"25º 03' 36"""""
LBN 435;;LBN 096.04-18.34;HII Region;Lacerta;"22h 40' 00""""";"37º 36' 00""""";;20' x 12';;;"22h 41' 09""""";"37º 43' 55"""""
NGC 7429;;;Open Cluster;Cepheus;"22h 55' 53""""";"59º 57' 36""""";;15';;;"22h 56' 54""""";"60º 05' 41"""""
SH 2-166;;LBN 566,LBN 114.63-00.85;HII Region;Cassiopeia;"23h 40' 11""""";"60º 57' 36""""";;10';;;"23h 41' 23""""";"61º 05' 59"""""
SH 2-81;;;HII Region;Aquila;"20h 01' 18""""";"11º 47' 00""""";;10';;;"20h 02' 29""""";"11º 51' 16"""""
NGC 2250;;;Open Cluster;Monoceros;"06h 33' 41""""";"-05º 04' 48""""";08.wrz;10';45799;;"06h 34' 55""""";"-05º 06' 03"""""
LBN 19;;LBN 005.40+37.47;HII Region;Serpens;"15h 51' 00""""";"-02º 54' 00""""";;2.3º x 1.5º;;;"15h 52' 19""""";"-02º 58' 28"""""
LDN 645;;;Dark Nebula;Aquila;"19h 19' 24""""";"07º 21' 00""""";;2.2º x 2.2º;;;"19h 20' 37""""";"07º 23' 53"""""
LBN 695;;LBN 147.82+37.57;HII Region;Ursa Major;"09h 02' 00""""";"66º 36' 00""""";;1.8º x 40';;;"09h 04' 12""""";"66º 29' 58"""""
LDN 822;;;Dark Nebula;Cygnus;"19h 46' 54""""";"32º 07' 00""""";;1.6º x 1.6º;;;"19h 47' 53""""";"32º 10' 48"""""
LDN 1307;;;Dark Nebula;Cassiopeia;"01h 05' 12""""";"65º 16' 00""""";;1.5º x 1.5º;;;"01h 06' 50""""";"65º 24' 04"""""
LBN 579;;LBN 117.94+24.90;HII Region;Draco;"20h 33' 00""""";"85º 00' 00""""";;1.3º x 40';;;"20h 29' 11""""";"85º 05' 09"""""
LBN 44;;LBN 011.54+36.11;HII Region;Serpens;"16h 07' 00""""";"00º 24' 00""""";;1.2º x 50';;;"16h 08' 17""""";"00º 20' 02"""""
LDN 784;;;Dark Nebula;Vulpecula;"19h 29' 06""""";"24º 06' 00""""";;38' x 38';;;"19h 30' 10""""";"24º 09' 12"""""
LDN 957;;;Dark Nebula;Cygnus;"21h 00' 42""""";"47º 47' 00""""";;31' x 31';;;"21h 01' 33""""";"47º 52' 59"""""
CTB 109;;H 2309+59;Supernova Remnant;Cassiopeia;"23h 01' 35""""";"58º 53' 00""""";;28' x 28';;;"23h 02' 38""""";"59º 01' 09"""""
LBN 158;;LBN 069.80+01.74;HII Region;Cygnus;"20h 00' 00""""";"33º 12' 00""""";;16' x 6';;;"20h 00' 58""""";"33º 16' 13"""""
BARNARD 225;;;Dark Nebula;Orion;"05h 28' 00""""";"11º 36' 00""""";;15' x 15';;;"05h 29' 24""""";"11º 37' 09"""""
PN A66 7;;PK 215-30 1;Planetary Nebula;Lepus;"05h 03' 08""""";"-15º 36' 23""""";;13' x 13';;;"05h 04' 16""""";"-15º 34' 20"""""
SH 2-289;;LBN 1014,LBN 218.92-04.42;HII Region;Monoceros;"06h 45' 54""""";"-07º 18' 00""""";;11';;;"06h 47' 07""""";"-07º 19' 42"""""
LBN 1044;;LBN 231.48-04.33;HII Region;Canis Major;"07h 10' 00""""";"-18º 30' 00""""";;10' x 9';;;"07h 11' 07""""";"-18º 32' 33"""""
LDN 896;;;Dark Nebula;Cygnus;"20h 41' 52""""";"39º 40' 48""""";;10' x 10';;;"20h 42' 48""""";"39º 46' 16"""""
LBN 459;;LBN 100.76+17.32;HII Region;Draco;"20h 15' 00""""";"67º 24' 00""""";;2.7º x 2º;;;"20h 15' 10""""";"67º 28' 41"""""
LDN 550;;;Dark Nebula;Aquila;"19h 07' 42""""";"-05º 45' 00""""";;1.8º x 1.8º;;;"19h 09' 03""""";"-05º 42' 32"""""
LBN 801;;LBN 173.21+31.70;HII Region;Lynx;"08h 06' 00""""";"46º 24' 00""""";;1.5º x 20';;;"08h 07' 47""""";"46º 19' 35"""""
LDN 1395;;;Dark Nebula;Camelopardalis;"04h 13' 54""""";"54º 08' 00""""";;1.2º x 1.2º;;;"04h 15' 53""""";"54º 11' 43"""""
LBN 255;;LBN 079.19-04.60;HII Region;Cygnus;"20h 52' 00""""";"37º 12' 00""""";;1.2º x 10';;;"20h 52' 59""""";"37º 17' 45"""""
LBN 696;;LBN 148.11-00.45;HII Region;Camelopardalis;"03h 53' 00""""";"53º 18' 00""""";;43' x 25';;;"03h 54' 56""""";"53º 22' 24"""""
LDN 1408;;;Dark Nebula;Camelopardalis;"04h 32' 00""""";"54º 31' 00""""";;24' x 24';;;"04h 34' 01""""";"54º 34' 07"""""
LDN 791;;;Dark Nebula;Vulpecula;"19h 49' 36""""";"23º 58' 00""""";;19' x 19';;;"19h 50' 40""""";"24º 01' 53"""""
LDN 1513;;;Dark Nebula;Auriga;"04h 52' 00""""";"30º 50' 00""""";;15' x 15';;;"04h 53' 37""""";"30º 52' 26"""""
LDN 336;;;Dark Nebula;Sagittarius;"18h 19' 54""""";"-17º 54' 00""""";;13' x 13';;;"18h 21' 22""""";"-17º 53' 15"""""
LDN 852;;;Dark Nebula;Cygnus;"20h 05' 54""""";"35º 09' 00""""";;10' x 10';;;"20h 06' 51""""";"35º 13' 24"""""
LBN 141;;LBN 062.04-10.57;HII Region;Delphinus;"20h 27' 00""""";"20º 00' 00""""";;2.7º x 1º;;;"20h 28' 08""""";"20º 05' 03"""""
LDN 654;;;Dark Nebula;Aquila;"19h 29' 24""""";"07º 06' 00""""";;2.1º x 2.1º;;;"19h 30' 38""""";"07º 09' 13"""""
LBN 631;;LBN 126.81+23.74;HII Region;Cepheus;"03h 59' 00""""";"85º 06' 00""""";;1.3º x 30';;;"04h 06' 02""""";"85º 10' 08"""""
LBN 569;;LBN 115.73+20.13;HII Region;Cepheus;"21h 52' 00""""";"80º 24' 00""""";;1.2º x 1º;;;"21h 51' 31""""";"80º 31' 08"""""
LDN 1061;;;Dark Nebula;Cepheus;"20h 58' 18""""";"57º 22' 00""""";;47' x 47';;;"20h 58' 58""""";"57º 27' 55"""""
BARNARD 363;;LDN 1007;Dark Nebula;Cygnus;"21h 25' 18""""";"48º 53' 00""""";;32' x 32';;;"21h 26' 11""""";"48º 59' 35"""""
NGC 1708;;;Open Cluster;Camelopardalis;"05h 03' 29""""";"52º 51' 04""""";;30' x 30';;;"05h 05' 30""""";"52º 53' 05"""""
CL BOCHUM 1;;;Open Cluster;Gemini;"06h 25' 18""""";"19º 46' 48""""";;26' x 26';;;"06h 26' 47""""";"19º 45' 51"""""
VV 699;;;Compact Group of Galaxies;Eridanus;"04h 59' 28""""";"-11º 07' 24""""";;18' x 18';;;"05h 00' 39""""";"-11º 05' 14"""""
BARNARD 15;;LDN 1445;Dark Nebula;Perseus;"04h 32' 06""""";"46º 36' 00""""";;18' x 18';;;"04h 33' 57""""";"46º 39' 07"""""
LDN 1543;;;Dark Nebula;Taurus;"04h 27' 24""""";"18º 52' 00""""";;18' x 18';;;"04h 28' 52""""";"18º 55' 17"""""
SH 2-105;;;HII Region;Cygnus;"20h 21' 38""""";"37º 31' 11""""";;18';;;"20h 22' 35""""";"37º 36' 04"""""
NGC 7281;;;Open Cluster;Cepheus;"22h 25' 02""""";"57º 52' 06""""";;17' x 17';;;"22h 25' 58""""";"57º 59' 48"""""
BARNARD 116;;LDN 512;Dark Nebula;Scutum;"18h 53' 12""""";"-07º 06' 00""""";;15' x 15';;;"18h 54' 34""""";"-07º 04' 02"""""
BARNARD 152;;LDN 1125;Dark Nebula;Cepheus;"21h 14' 30""""";"61º 44' 00""""";;10' x 6';;;"21h 15' 06""""";"61º 50' 19"""""
LBN 827;;LBN 182.41+00.27;Reflection Nebula;Taurus;"05h 52' 00""""";"27º 00' 00""""";;10' x 10';;;"05h 53' 35""""";"27º 00' 16"""""
NGC 956;;;Open Cluster;Andromeda;"02h 32' 15""""";"44º 33' 48""""";;9';;;"02h 33' 53""""";"44º 40' 24"""""
LDN 1560;;;Dark Nebula;Auriga;"06h 13' 12""""";"27º 59' 00""""";;1.5º x 1.5º;;;"06h 14' 47""""";"27º 58' 29"""""
LBN 1001;;LBN 214.05-22.44;HII Region;Lepus;"05h 32' 00""""";"-11º 00' 00""""";;1.3º x 20';;;"05h 33' 11""""";"-10º 59' 00"""""
LDN 234;;;Dark Nebula;Ophiuchus;"16h 48' 48""""";"-11º 05' 00""""";;1.2º x 1.2º;;;"16h 50' 12""""";"-11º 07' 33"""""
LDN 565;;;Dark Nebula;Aquila;"18h 55' 36""""";"-03º 31' 00""""";;1.2º x 1.2º;;;"18h 56' 55""""";"-03º 28' 57"""""
LBN 1122;;LBN 359.24+36.59;HII Region;Libra;"15h 41' 00""""";"-07º 12' 00""""";;1º x 30';;;"15h 42' 21""""";"-07º 16' 46"""""
LBN 985;;LBN 211.92-14.84;HII Region;Orion;"05h 56' 00""""";"-05º 48' 00""""";;1º x 20';;;"05h 57' 14""""";"-05º 47' 53"""""
LDN 485;;;Dark Nebula;Scutum;"18h 36' 42""""";"-06º 57' 00""""";;49' x 49';;;"18h 38' 03""""";"-06º 55' 38"""""
LBN 700;;LBN 148.83+17.71;HII Region;Camelopardalis;"05h 47' 00""""";"64º 18' 00""""";;45' x 15';;;"05h 49' 27""""";"64º 18' 26"""""
SH 2-122;;;HII Region;Pegasus;"23h 08' 48""""";"14º 55' 00""""";;40';;;"23h 10' 03""""";"15º 03' 12"""""
CTB 73;;3C 400,AJG 98,3C 400.0;Supernova Remnant;Aquila;"19h 23' 50""""";"14º 06' 00""""";;30' x 30';;;"19h 25' 00""""";"14º 09' 02"""""
LDN 1245;;;Dark Nebula;Cassiopeia;"23h 32' 18""""";"60º 47' 00""""";;16' x 16';;;"23h 33' 28""""";"60º 55' 21"""""
LDN 1583;;;Dark Nebula;Orion;"05h 28' 48""""";"12º 02' 00""""";;14' x 14';;;"05h 30' 13""""";"12º 03' 07"""""
NGC 1758;;OCL 453;Open Cluster;Taurus;"05h 04' 42""""";"23º 48' 47""""";;13' x 13';;;"05h 06' 14""""";"23º 50' 46"""""
LDN 690;;;Dark Nebula;Aquila;"19h 40' 42""""";"10º 20' 00""""";;11' x 11';;;"19h 41' 54""""";"10º 23' 36"""""
LBN 470;;LBN 102.76-27.25;HII Region;Pegasus;"23h 26' 00""""";"32º 18' 00""""";;4º x 2º;;;"23h 27' 14""""";"32º 26' 19"""""
CTB 69;;AJG 93;Supernova Remnant;Aquila;"19h 12' 20""""";"04º 55' 00""""";;2º x 1º;;;"19h 13' 35""""";"04º 57' 38"""""
LDN 815;;;Dark Nebula;Vulpecula;"19h 47' 00""""";"29º 07' 00""""";;1.5º x 1.5º;;;"19h 48' 01""""";"29º 10' 48"""""
LBN 693;;LBN 147.69+17.07;HII Region;Camelopardalis;"05h 37' 00""""";"65º 00' 00""""";;1.5º x 35';;;"05h 39' 29""""";"65º 00' 48"""""
LDN 525;;;Dark Nebula;Scutum;"18h 38' 36""""";"-03º 57' 00""""";;1.5º x 1.5º;;;"18h 39' 56""""";"-03º 55' 34"""""
CTB 80;;;Supernova Remnant;Cygnus;"19h 52' 55""""";"32º 54' 12""""";;1.3º x 1.3º;;;"19h 53' 53""""";"32º 58' 12"""""
NGC 6774;;CL RUPRECHT 147,OCL 65.0;Open Cluster;Sagittarius;"19h 16' 21""""";"-16º 19' 59""""";;1.3º x 1.3º;;;"19h 17' 48""""";"-16º 17' 12"""""
LDN 1286;;IRAS 00329+5837;Dark Nebula;Cassiopeia;"00h 35' 46""""";"58º 54' 13""""";;1º x 30';;;"00h 37' 13""""";"59º 02' 31"""""
LDN 1505;;;Dark Nebula;Auriga;"04h 48' 12""""";"31º 05' 00""""";;1º x 1º;;;"04h 49' 49""""";"31º 07' 34"""""
LDN 1058;;;Dark Nebula;Cepheus;"21h 02' 24""""";"56º 02' 00""""";;56' x 56';;;"21h 03' 06""""";"56º 08' 01"""""
LDN 776;;;Dark Nebula;Vulpecula;"19h 35' 06""""";"22º 07' 00""""";;44' x 44';;;"19h 36' 11""""";"22º 10' 25"""""
LBN 727;;LBN 156.50+32.52;HII Region;Camelopardalis;"08h 06' 00""""";"60º 36' 00""""";;43' x 10';;;"08h 08' 08""""";"60º 31' 34"""""
LDN 1541;;;Dark Nebula;Taurus;"04h 44' 00""""";"22º 46' 00""""";;36' x 36';;;"04h 45' 31""""";"22º 48' 43"""""
LBN 104;;LBN 036.57-01.81;HII Region;Aquila;"19h 05' 00""""";"02º 24' 00""""";;35' x 20';;;"19h 06' 16""""";"02º 26' 23"""""
LDN 1405;;;Dark Nebula;Camelopardalis;"04h 34' 00""""";"55º 16' 00""""";;25' x 25';;;"04h 36' 03""""";"55º 19' 03"""""
LBN 488;;LBN 104.11+03.42;HII Region;Cepheus;"22h 10' 00""""";"60º 12' 00""""";;23' x 15';;;"22h 10' 50""""";"60º 19' 28"""""
BARNARD 361;;LDN 970;Dark Nebula;Cygnus;"21h 12' 13""""";"47º 23' 23""""";;21' x 21';;;"21h 13' 06""""";"47º 29' 39"""""
LBN 1043;;LBN 231.33-04.51;HII Region;Canis Major;"07h 09' 00""""";"-18º 24' 00""""";;20' x 10';;;"07h 10' 07""""";"-18º 26' 31"""""
BARNARD 132;;;Dark Nebula;Aquila;"19h 04' 24""""";"-04º 25' 00""""";;16';;;"19h 05' 44""""";"-04º 22' 39"""""
LBN 935;;LBN 204.96-17.55;HII Region;Orion;"05h 35' 00""""";"-01º 12' 00""""";;15' x 5';;;"05h 36' 17""""";"-01º 11' 06"""""
LDN 1316;;;Dark Nebula;Cassiopeia;"01h 19' 12""""";"61º 26' 00""""";;13' x 13';;;"01h 20' 51""""";"61º 33' 54"""""
BARNARD 13;;;Dark Nebula;Camelopardalis;"04h 31' 18""""";"54º 53' 00""""";;10' x 4.2';;;"04h 33' 20""""";"54º 56' 08"""""
LBN 730;;LBN 156.85-44.77;HII Region;Aries;"02h 27' 00""""";"11º 42' 00""""";;3º x 12';;;"02h 28' 22""""";"11º 48' 43"""""
LBN 698;;LBN 148.15+23.46;HII Region;Camelopardalis;"06h 37' 00""""";"67º 00' 00""""";;1.8º x 15';;;"06h 39' 36""""";"66º 58' 36"""""
LDN 1305;;;Dark Nebula;Cassiopeia;"01h 03' 18""""";"67º 46' 00""""";;1.6º x 1.6º;;;"01h 04' 58""""";"67º 54' 05"""""
LDN 363;;;Dark Nebula;Serpens;"17h 58' 48""""";"-13º 00' 00""""";;1.5º x 1.5º;;;"18h 00' 13""""";"-13º 00' 01"""""
LBN 458;;LBN 100.54-16.13;HII Region;Lacerta;"22h 54' 00""""";"41º 36' 00""""";;1.3º x 30';;;"22h 55' 09""""";"41º 44' 04"""""
BARNARD 230;;;Dark Nebula;Ophiuchus;"16h 27' 00""""";"-16º 48' 00""""";;1º;;;"16h 28' 27""""";"-16º 51' 18"""""
LDN 1653;;;Dark Nebula;Monoceros;"06h 58' 36""""";"-07º 44' 00""""";;50' x 38';;;"06h 59' 49""""";"-07º 46' 09"""""
LDN 1655;;;Dark Nebula;Monoceros;"06h 56' 42""""";"-08º 28' 00""""";;46' x 34';;;"06h 57' 55""""";"-08º 30' 05"""""
LBN 709;;LBN 151.45-01.78;HII Region;Perseus;"04h 04' 00""""";"50º 06' 00""""";;45' x 20';;;"04h 05' 53""""";"50º 10' 03"""""
LDN 1486;;;Dark Nebula;Taurus;"04h 08' 06""""";"29º 08' 00""""";;42' x 42';;;"04h 09' 40""""";"29º 11' 55"""""
CTB 60;;3C 392,AJG 91,3C 392.0;Supernova Remnant;Aquila;"18h 56' 11""""";"01º 13' 21""""";;35' x 27';;;"18h 57' 27""""";"01º 15' 25"""""
LBN 733;;LBN 157.48+32.66;HII Region;Camelopardalis;"08h 07' 00""""";"59º 42' 00""""";;35' x 7';;;"08h 09' 06""""";"59º 37' 32"""""
LBN 76;;LBN 021.10-00.60;HII Region;Scutum;"18h 32' 00""""";"-10º 48' 00""""";;35' x 25';;;"18h 33' 24""""";"-10º 46' 48"""""
LDN 1144;;;Dark Nebula;Cepheus;"21h 50' 30""""";"60º 07' 00""""";;32' x 6';;;"21h 51' 16""""";"60º 14' 07"""""
LBN 219;;LBN 076.42-01.19;HII Region;Cygnus;"20h 30' 00""""";"37º 06' 00""""";;30' x 20';;;"20h 30' 57""""";"37º 11' 08"""""
LBN 871;;LBN 195.39-16.89;HII Region;Orion;"05h 19' 00""""";"07º 12' 00""""";;30' x 5';;;"05h 20' 22""""";"07º 13' 28"""""
LDN 288;;;Dark Nebula;Sagittarius;"17h 57' 43""""";"-18º 32' 27""""";;16' x 12';;;"17h 59' 11""""";"-18º 32' 30"""""
BARNARD 25;;LDN 1465;Dark Nebula;Auriga;"04h 52' 42""""";"46º 00' 00""""";;14' x 14';;;"04h 54' 33""""";"46º 02' 24"""""
BARNARD 135;;;Dark Nebula;Aquila;"19h 07' 30""""";"-03º 55' 00""""";;13';;;"19h 08' 50""""";"-03º 52' 32"""""
BARNARD 213;;;Dark Nebula;Taurus;"04h 20' 51""""";"27º 16' 18""""";;10' x 6';;;"04h 22' 24""""";"27º 19' 48"""""
LBN 562;;LBN 114.18-06.90;HII Region;Cassiopeia;"23h 50' 00""""";"55º 00' 00""""";;1.8º x 20';;;"23h 51' 15""""";"55º 08' 24"""""
LDN 1002;;;Dark Nebula;Cygnus;"20h 56' 30""""";"52º 42' 00""""";;1.4º x 1.4º;;;"20h 57' 16""""";"52º 47' 52"""""
LDN 561;;;Dark Nebula;Scutum;"18h 57' 36""""";"-03º 56' 00""""";;1.3º x 1.3º;;;"18h 58' 56""""";"-03º 53' 53"""""
LBN 991;;LBN 213.16-27.73;HII Region;Lepus;"05h 11' 00""""";"-12º 24' 00""""";;1.2º x 5';;;"05h 12' 10""""";"-12º 22' 14"""""
LDN 766;;;Dark Nebula;Vulpecula;"19h 49' 12""""";"19º 38' 00""""";;1º x 1º;;;"19h 50' 19""""";"19º 41' 53"""""
LBN 237;;LBN 077.82+06.91;HII Region;Cygnus;"19h 59' 00""""";"42º 42' 00""""";;53' x 20';;;"19h 59' 50""""";"42º 46' 11"""""
LDN 617;;;Dark Nebula;Aquila;"18h 57' 30""""";"01º 04' 00""""";;52' x 52';;;"18h 58' 47""""";"01º 06' 07"""""
LBN 618;;LBN 123.23+02.89;HII Region;Cassiopeia;"00h 54' 00""""";"65º 48' 00""""";;45' x 20';;;"00h 55' 35""""";"65º 56' 10"""""
LDN 1502;;;Dark Nebula;Auriga;"05h 03' 18""""";"34º 04' 00""""";;42' x 42';;;"05h 04' 58""""";"34º 06' 02"""""
LBN 207;;LBN 075.74+05.65;HII Region;Cygnus;"19h 59' 00""""";"40º 18' 00""""";;40' x 10';;;"19h 59' 53""""";"40º 22' 11"""""
LBN 872;;LBN 195.41-17.19;HII Region;Orion;"05h 18' 00""""";"07º 00' 00""""";;40' x 5';;;"05h 19' 22""""";"07º 01' 30"""""
LDN 630;;;Dark Nebula;Serpens;"18h 38' 54""""";"06º 03' 00""""";;33' x 33';;;"18h 40' 08""""";"06º 04' 27"""""
LDN 1438;;;Dark Nebula;Auriga;"04h 55' 54""""";"51º 35' 00""""";;25' x 25';;;"04h 57' 52""""";"51º 37' 17"""""
LDN 812;;;Dark Nebula;Cygnus;"19h 45' 00""""";"28º 32' 00""""";;23' x 23';;;"19h 46' 01""""";"28º 35' 44"""""
LBN 323;;LBN 082.70+00.46;HII Region;Cygnus;"20h 43' 00""""";"43º 06' 00""""";;20' x 10';;;"20h 43' 54""""";"43º 11' 30"""""
LBN 835;;LBN 185.03-34.34;HII Region;Taurus;"04h 00' 00""""";"04º 54' 00""""";;20' x 7';;;"04h 01' 20""""";"04º 58' 11"""""
LDN 1324;;;Dark Nebula;Cassiopeia;"01h 26' 18""""";"61º 36' 00""""";;12' x 12';;;"01h 27' 59""""";"61º 43' 49"""""
CL DOLIDZE 3;;OCL 156.0;Open Cluster;Cygnus;"20h 15' 13""""";"36º 49' 54""""";;11' x 11';;;"20h 16' 09""""";"36º 54' 36"""""
