Catalogue Entry;Familiar Name;Alternative Entries;Type;Constellation;Right Ascension (j2000);Declination (j2000);Magnitude;Size;Surface Brightness (mag/arcsec2);Notes;Right Ascension (jNow);Declination (jNow)
NGC 2265;;;Asterism;Gemini;"06h 41' 41""""";"11º 54' 18""""";;9' x 9';;;"06h 43' 05""""";"11º 52' 45"""""
LBN 918;;LBN 203.64-17.43;HII Region;Orion;"05h 33' 00""""";"00º 00' 00""""";;26º x 10º;;;"05h 34' 17""""";"00º 00' 58"""""
LDN 667;;;Dark Nebula;Aquila;"19h 05' 18""""";"12º 05' 00""""";;1.6º x 1.6º;;;"19h 06' 29""""";"12º 07' 23"""""
LDN 441;;;Dark Nebula;Ophiuchus;"18h 03' 42""""";"-05º 20' 00""""";;1.6º x 1.6º;;;"18h 05' 03""""";"-05º 19' 50"""""
LDN 317;;;Dark Nebula;Ophiuchus;"17h 00' 42""""";"-08º 04' 00""""";;1.3º x 1.3º;;;"17h 02' 04""""";"-08º 06' 08"""""
LDN 1308;;;Dark Nebula;Cassiopeia;"01h 13' 42""""";"72º 56' 00""""";;1.3º x 1.3º;;;"01h 15' 35""""";"73º 03' 58"""""
LBN 113;;LBN 041.84-18.59;HII Region;Aquila;"20h 14' 00""""";"-00º 48' 00""""";;1.2º x 20';;;"20h 15' 18""""";"-00º 43' 20"""""
LDN 1492;;;Dark Nebula;Auriga;"04h 49' 18""""";"35º 05' 00""""";;1.1º x 1.1º;;;"04h 50' 58""""";"35º 07' 31"""""
LDN 679;;;Dark Nebula;Aquila;"19h 13' 18""""";"12º 45' 00""""";;58' x 58';;;"19h 14' 28""""";"12º 47' 40"""""
LDN 137;;;Dark Nebula;Ophiuchus;"16h 50' 54""""";"-15º 25' 00""""";;57' x 57';;;"16h 52' 20""""";"-15º 27' 28"""""
LDN 1643;;;Dark Nebula;Monoceros;"06h 06' 30""""";"-04º 40' 00""""";;55' x 55';;;"06h 07' 45""""";"-04º 40' 16"""""
LDN 511;;;Dark Nebula;Serpens;"18h 25' 36""""";"-03º 38' 00""""";;54' x 54';;;"18h 26' 56""""";"-03º 37' 02"""""
LBN 299;;LBN 081.26-05.98;HII Region;Cygnus;"21h 04' 00""""";"37º 54' 00""""";;50' x 10';;;"21h 04' 59""""";"38º 00' 04"""""
LBN 765;;LBN 163.76+12.22;HII Region;Auriga;"05h 59' 00""""";"49º 00' 00""""";;50' x 20';;;"06h 00' 56""""";"49º 00' 00"""""
LBN 884;;LBN 198.15-18.18;HII Region;Orion;"05h 20' 00""""";"04º 18' 00""""";;50' x 5';;;"05h 21' 20""""";"04º 19' 26"""""
LDN 672;;;Dark Nebula;Aquila;"19h 47' 24""""";"07º 07' 00""""";;50' x 50';;;"19h 48' 38""""";"07º 10' 49"""""
LDN 1038;;;Dark Nebula;Cepheus;"20h 46' 18""""";"56º 21' 00""""";;49' x 49';;;"20h 46' 58""""";"56º 26' 35"""""
LDN 624;;;Dark Nebula;Aquila;"19h 05' 30""""";"01º 35' 00""""";;42' x 42';;;"19h 06' 47""""";"01º 37' 24"""""
LDN 593;;;Dark Nebula;Serpens;"18h 39' 36""""";"-00º 37' 00""""";;41' x 41';;;"18h 40' 54""""";"-00º 35' 32"""""
LDN 674;;;Dark Nebula;Aquila;"19h 28' 24""""";"10º 26' 00""""";;41' x 41';;;"19h 29' 36""""";"10º 29' 11"""""
LBN 764;;LBN 163.16+12.53;HII Region;Auriga;"05h 59' 00""""";"49º 42' 00""""";;40' x 10';;;"06h 00' 57""""";"49º 42' 00"""""
LBN 880;;LBN 197.65-17.90;HII Region;Orion;"05h 20' 00""""";"04º 48' 00""""";;40' x 3';;;"05h 21' 20""""";"04º 49' 26"""""
LBN 896;;LBN 201.02-34.67;HII Region;Eridanus;"04h 27' 00""""";"-06º 12' 00""""";;40' x 10';;;"04h 28' 14""""";"-06º 08' 42"""""
LDN 733;;;Dark Nebula;Sagitta;"19h 44' 18""""";"17º 07' 00""""";;38' x 38';;;"19h 45' 26""""";"17º 10' 43"""""
LDN 1579;;;Dark Nebula;Orion;"05h 39' 48""""";"13º 47' 00""""";;34' x 34';;;"05h 41' 14""""";"13º 47' 43"""""
LDN 33;;;Dark Nebula;Ophiuchus;"16h 41' 24""""";"-17º 26' 00""""";;34' x 34';;;"16h 42' 51""""";"-17º 28' 48"""""
LDN 795;;;Dark Nebula;Vulpecula;"19h 37' 06""""";"26º 37' 00""""";;33' x 32';;;"19h 38' 08""""";"26º 40' 29"""""
LDN 731;;;Dark Nebula;Sagitta;"19h 38' 12""""";"17º 37' 00""""";;31' x 31';;;"19h 39' 20""""";"17º 40' 31"""""
LBN 173;;LBN 071.85+06.31;HII Region;Cygnus;"19h 46' 00""""";"37º 18' 00""""";;30' x 8';;;"19h 46' 54""""";"37º 21' 46"""""
BARNARD 330;;LDN 647;Dark Nebula;Aquila;"19h 19' 36""""";"07º 28' 00""""";;28' x 28';;;"19h 20' 49""""";"07º 30' 53"""""
LDN 813;;;Dark Nebula;Cygnus;"19h 43' 00""""";"29º 07' 00""""";;28' x 28';;;"19h 44' 01""""";"29º 10' 40"""""
BARNARD 224;;;Dark Nebula;Orion;"05h 23' 54""""";"10º 37' 00""""";;25' x 25';;;"05h 25' 18""""";"10º 38' 18"""""
LBN 760;;LBN 161.45+14.78;HII Region;Auriga;"06h 07' 00""""";"52º 12' 00""""";;25' x 15';;;"06h 09' 01""""";"52º 11' 42"""""
